#,Name,Position,Year,Status,team
30,Eric Solomon,LB,So,Active,Blinn College
31,Keshawn Lamont,DB,Fr,Active,Blinn College
32,Max Nowak,K,So,Active,Blinn College
33,David Nico,LB,Fr,Active,Blinn College
34,Frankedric Powell,LB,Fr,Active,Blinn College
35,Juan Mata,CB,Fr,Active,Blinn College
36,Brian Bacon,LB,Fr,Active,Blinn College
38,Stefan Williams,DB,Fr,Active,Blinn College
39,Michael Thornton,DB,Fr,Active,Blinn College
40,Justin Garza,DE,So,Active,Blinn College
41,Topher Stubbs,RB,Fr,Active,Blinn College
42,Trevor Tamplin,DE,So,Active,Blinn College
43,Szyron Scott,DL,Fr,Active,Blinn College
44,CJ Anizor,DE,Fr,Active,Blinn College
46,Adrian Prean,LB,Fr,Active,Blinn College
47,Samuel Taylor,LB,Fr,Active,Blinn College
48,Cameron Noto,K,Fr,Active,Blinn College
49,Greco Torres,DL,Fr,Active,Blinn College
50,Eric Aschenbeck,OL,So,Active,Blinn College
51,Joel Evans,OL,Fr,Active,Blinn College
52,Ja'Corey Kindle,DL,Fr,Active,Blinn College
54,Nicolas Golden,OL,Fr,Active,Blinn College
55,Jequarrius McClendon,DL,So,Active,Blinn College
60,Jossue Rios,OL,So,Active,Blinn College
62,Derrick McGregor,OL,Fr,Active,Blinn College
64,Abram Nicklas,OL,So,Active,Blinn College
65,Clayton Schupp,OL,Fr,Active,Blinn College
66,Donovan Randle,OL,Fr,Active,Blinn College
70,Thomas Domian,OL,So,Active,Blinn College
73,Tyler Bostick,OL,Fr,Active,Blinn College
74,Jeshuah Davis,OL,Fr,Active,Blinn College
75,William Bays,OL,Fr,Active,Blinn College
77,Jaylon Thomas,OL,Fr,Active,Blinn College
78,Javier Pulido,OL,Fr,Active,Blinn College
80,Alex Morehead,WR,Fr,Active,Blinn College
81,Reid Robinson,WR,Fr,Active,Blinn College
82,Jakerrian Roquemore,WR,So,Active,Blinn College
84,Jaden Williams,WR,Fr,Active,Blinn College
85,Dakoda \DJ\ Pearson,WR,So,Active,Blinn College
86,Cortez Henley,TE,Fr,Active,Blinn College
88,Joshua Richardson,TE,So,Active,Blinn College
90,Branson Winter,DL,So,Active,Blinn College
91,Tre Williams,DL,Fr,Active,Blinn College
92,Deuce Williams,DL,Fr,Active,Blinn College
93,Josiah Johnson,LS,Fr,Active,Blinn College
94,Dante Payton,DL,So,Active,Blinn College
95,Nehemiah Williams,DL,Fr,Active,Blinn College
99,Andrew Jones,DL,Fr,Active,Blinn College
D1,Trenneth Jones,DB,Fr,Active,Blinn College
D3,Javon Bejarano,DB,So,Active,Blinn College
D4,Cooper Kohan,DE,Fr,Active,Blinn College
D5,Jamarion Zeno,DL,Fr,Active,Blinn College
D6,Darein Hargrove,DB,So,Active,Blinn College
D7,Caden Baldwin,LB,Fr,Active,Blinn College
D8,Porter Johnson,DB,Fr,Active,Blinn College
D9,Tyler Cooks,LB,Fr,Active,Blinn College
O1,Tracy James,WR,Fr,Active,Blinn College
O3,Rae'G Dailey,WR,Fr,Active,Blinn College
O4,Justin Howard,RB,Fr,Active,Blinn College
O6,Breck Chambers,P,So,Active,Blinn College
O7,Martavious Boswell,RB,Fr,Active,Blinn College
O8,Nathan Lewis,WR,So,Active,Blinn College
O9,Rylan Wooten,QB,So,Active,Blinn College
1,Zayden Laing-Taylor,DB,RFr.,Active,Butler Community College - KS
2,Vinny Smith,RB,RSo.,Active,Butler Community College - KS
3,Craig Royal,DB,RSo.,Active,Butler Community College - KS
4,Mac Armstrong,QB,RFr.,Active,Butler Community College - KS
5,Kenton Simmons,DE,So.,Active,Butler Community College - KS
6,Mason McHugh,QB,RFr.,Active,Butler Community College - KS
7,Seven Cloud,DT,RFr.,Active,Butler Community College - KS
8,Justin Stephens,WR,So.,Active,Butler Community College - KS
9,DeAndre Beasley,WR,RFr.,Active,Butler Community College - KS
10,Landon Boss,LB,So.,Active,Butler Community College - KS
11,Markellus Bass,RB,Fr.,Active,Butler Community College - KS
12,Jalen Jones,DB,Fr.,Active,Butler Community College - KS
13,Gerard Reed III,DB,Fr.,Active,Butler Community College - KS
14,Nick Brown,WR,So.,Active,Butler Community College - KS
15,David Houston,DB,So.,Active,Butler Community College - KS
16,Jamarcus Presley,LB,Fr.,Active,Butler Community College - KS
17,Nolan Chambers,WR,RFr.,Active,Butler Community College - KS
18,Jayson Zardavets,QB,Fr.,Active,Butler Community College - KS
19,Braylan Ford,QB,Fr.,Active,Butler Community College - KS
20,Tegan Orth,DB,So.,Active,Butler Community College - KS
21,Calvin Townes Jr.,DB,Fr.,Active,Butler Community College - KS
22,Chevy Edwards,P,So.,Active,Butler Community College - KS
23,Jaxon Bowles,LB,So.,Active,Butler Community College - KS
24,Braxton Urquhart,DB,RFr.,Active,Butler Community College - KS
25,Zeric Avery,DB,RSo.,Active,Butler Community College - KS
26,Randolph John,LB,So.,Active,Butler Community College - KS
27,Diesel Gordon,DB,RFr.,Active,Butler Community College - KS
28,Javoris Havis,RB,Fr.,Active,Butler Community College - KS
29,Dylan Massey,DB,So.,Active,Butler Community College - KS
30,Cannon McCormack,TE,Fr.,Active,Butler Community College - KS
31,Carlos Bazert,TE,So.,Active,Butler Community College - KS
32,Omarr Brown,DB,Fr.,Active,Butler Community College - KS
34,Dezmyn Gibson,DB,Fr.,Active,Butler Community College - KS
35,Jaylen Lawrence,LB,RFr.,Active,Butler Community College - KS
36,Levi Wittenberg,LB,RFr.,Active,Butler Community College - KS
37,Latori Williams,LB,Fr.,Active,Butler Community College - KS
38,Jaden Skates,DB,RFr.,Active,Butler Community College - KS
39,Jaylin Johnson,DB,Fr.,Active,Butler Community College - KS
40,Kevin Moorer,DE,RFr.,Active,Butler Community College - KS
41,Justyce Betts,LB,Fr.,Active,Butler Community College - KS
42,Gabe Welch,LB,RFr.,Active,Butler Community College - KS
43,Noah Bruce,TE,RFr.,Active,Butler Community College - KS
44,Cooper Hajek,TE,So.,Active,Butler Community College - KS
45,Josh King,DB,Fr.,Active,Butler Community College - KS
46,Zach Haber,LS,RFr.,Active,Butler Community College - KS
47,Aidan Battle,K,So.,Active,Butler Community College - KS
48,Tae Bulock,LB,Fr.,Active,Butler Community College - KS
49,Amarion Anderson,DE,RFr.,Active,Butler Community College - KS
50,Seth LeClair,DL,So.,Active,Butler Community College - KS
51,Kanye Gaines,DE,Fr.,Active,Butler Community College - KS
52,Devin Davis,OL,RSo.,Active,Butler Community College - KS
53,Jayden Deemer,OL,RFr.,Active,Butler Community College - KS
54,Chantz Banks,OL,So.,Active,Butler Community College - KS
55,Jimmy Lubin,OL,RSo.,Active,Butler Community College - KS
56,Isaia Thompson,OL,RFr.,Active,Butler Community College - KS
57,Azrie Yeager,OL,Fr.,Active,Butler Community College - KS
60,Kainen White,DT,Fr.,Active,Butler Community College - KS
62,Cooper Jay,OL,Fr.,Active,Butler Community College - KS
65,Cape Johnson,OL,Fr.,Active,Butler Community College - KS
70,Bryce Simpson,OL,RSo.,Active,Butler Community College - KS
73,Carter Bowen,OL,So.,Active,Butler Community College - KS
74,Kelvin Searcy II,OL,Fr.,Active,Butler Community College - KS
75,Deshawn Woods,OL,RFr.,Active,Butler Community College - KS
77,Jahkye Irby,OL,So.,Active,Butler Community College - KS
80,Jaylin Williams,WR,RFr.,Active,Butler Community College - KS
81,Trey Noonan,WR,Fr.,Active,Butler Community College - KS
82,Da'Realyst Clark,WR,RSo.,Active,Butler Community College - KS
83,Cam Harris,WR,So.,Active,Butler Community College - KS
84,Daveon Walker,WR,RSo.,Active,Butler Community College - KS
85,Cedric Roberts,DE,RSo.,Active,Butler Community College - KS
86,Kaden Moorman,RB,RFr.,Active,Butler Community College - KS
87,Jordan Morris,TE,RFr.,Active,Butler Community College - KS
88,Braelyn Dillard,TE,RSo.,Active,Butler Community College - KS
89,Mark Debiak,DE,Fr.,Active,Butler Community College - KS
90,Donovan Williams,DT,RFr.,Active,Butler Community College - KS
91,Demetrie Morgan,DE,RFr.,Active,Butler Community College - KS
92,Christopher White Jr.,DE,Fr.,Active,Butler Community College - KS
93,Isaac Saye,K/P,So.,Active,Butler Community College - KS
94,Jayden Aswell,DE,Fr.,Active,Butler Community College - KS
95,Ozzy Poage,DT,RFr.,Active,Butler Community College - KS
97,Jaden Roper,DL,So.,Active,Butler Community College - KS
99,Dexter Carr,DT,RFr.,Active,Butler Community College - KS
0,JonMichael Breaux,SLB,NA,Active,Central Georgia Technical College
1,Aki Harvey,CB,NA,Active,Central Georgia Technical College
2,Neico Sandifer,WR,NA,Active,Central Georgia Technical College
3,Jevell Fugerson,WR,NA,Active,Central Georgia Technical College
4,Nicholas Benton,SS,NA,Active,Central Georgia Technical College
5,Rodney Johnson,CB,NA,Active,Central Georgia Technical College
6,Anton Evans,MLB,NA,Active,Central Georgia Technical College
7,Brison Huey,FS,NA,Active,Central Georgia Technical College
8,Alex Willock,CB,NA,Active,Central Georgia Technical College
9,Brandon (Manny) Moss,B,NA,Active,Central Georgia Technical College
10,Da'Mare Franklin,WR,NA,Active,Central Georgia Technical College
11,Zyan McCoy,CB,NA,Active,Central Georgia Technical College
12,Jared Lawrence,QB,NA,Active,Central Georgia Technical College
13,Jiante Tolbridge,QB,NA,Active,Central Georgia Technical College
14,Eian Finkley,QB,NA,Active,Central Georgia Technical College
15,Zyon Williams,CB,NA,Active,Central Georgia Technical College
16,Davionne Carter,,NA,Active,Central Georgia Technical College
17,Vernon Guyton,WR,NA,Active,Central Georgia Technical College
18,Nate Azariah,WR,NA,Active,Central Georgia Technical College
20,Rory Thomas,RB,NA,Active,Central Georgia Technical College
21,E'sean Arnold,SS,NA,Active,Central Georgia Technical College
22,Jordan Farrell,SLB,NA,Active,Central Georgia Technical College
23,Micheal Cabellero,RB,NA,Active,Central Georgia Technical College
24,Jeremiah Jones,CB,NA,Active,Central Georgia Technical College
25,Bryan (Duce) Hood,RB,NA,Active,Central Georgia Technical College
26,CaRon Walker,FS,NA,Active,Central Georgia Technical College
27,Amarion Grant,RB,NA,Active,Central Georgia Technical College
28,Luke Donnahue,K,NA,Active,Central Georgia Technical College
29,Marlon Mitchell,RB,NA,Active,Central Georgia Technical College
31,Jeffery Riddle,,NA,Active,Central Georgia Technical College
32,Jehden Robinson,MLB,NA,Active,Central Georgia Technical College
33,Trevion Kearse,B,NA,Active,Central Georgia Technical College
35,Keshun Pollock,FS,NA,Active,Central Georgia Technical College
36,Bryson Williams,SS,NA,Active,Central Georgia Technical College
37,Bryston Williams,SS,NA,Active,Central Georgia Technical College
38,Calen Reaves,CB,NA,Active,Central Georgia Technical College
39,Jalean Robinson,B,NA,Active,Central Georgia Technical College
40,Deondre Kennedy,DE,NA,Active,Central Georgia Technical College
41,Joshua Gutierrez,P/K,NA,Active,Central Georgia Technical College
42,Joevon Bautista,RB,NA,Active,Central Georgia Technical College
44,"""Isayah """"Tony"""""" Clark",SLB,NA,Active,Central Georgia Technical College
45,Gary Green,DE,NA,Active,Central Georgia Technical College
47,Taysean Wilson,B,NA,Active,Central Georgia Technical College
49,Jaylon Mills,CB,NA,Active,Central Georgia Technical College
54,Everette Jones,MLB,NA,Active,Central Georgia Technical College
55,Demontriel Price,SLB,NA,Active,Central Georgia Technical College
57,Christopher Morris,DE,NA,Active,Central Georgia Technical College
67,Derek Coleman,OL,NA,Active,Central Georgia Technical College
70,Javier Favors,OL,NA,Active,Central Georgia Technical College
74,Steven Carter,OL,NA,Active,Central Georgia Technical College
77,Shyhiem Alexander,OL,NA,Active,Central Georgia Technical College
78,Miles Flowers,OL,NA,Active,Central Georgia Technical College
79,Isaiah Palmore,OL,NA,Active,Central Georgia Technical College
80,Jeremiah Jackson,WR,NA,Active,Central Georgia Technical College
81,Marcus Newsome,WR,NA,Active,Central Georgia Technical College
82,Nyzier Arango,WR,NA,Active,Central Georgia Technical College
84,Caleb Reaves,WR,NA,Active,Central Georgia Technical College
86,Khamren Little,WR,NA,Active,Central Georgia Technical College
87,James Brown,TE,NA,Active,Central Georgia Technical College
88,Nathan Gardner,TE,NA,Active,Central Georgia Technical College
90,Bryson Lawston,DE,NA,Active,Central Georgia Technical College
91,Christ Kore,DT,NA,Active,Central Georgia Technical College
92,Romond Robinson,DE,NA,Active,Central Georgia Technical College
98,J'lonta Jones,DT,NA,Active,Central Georgia Technical College
0,Cyrus Moore,LB,,Active,Cisco College
1,Malachi Berg,QB,,Active,Cisco College
2,Landon Vessel,QB,,Active,Cisco College
3,William Washington,WR,,Active,Cisco College
4,Dayvian Bluitt,WR,,Active,Cisco College
5,Keith Rockwell,RB,,Active,Cisco College
6,Lonell Cunningham,DB,,Active,Cisco College
7,Aiden Armstrong,DB,,Active,Cisco College
8,Kye Stone,WR,,Active,Cisco College
9,Bryson Nealy,TE,,Active,Cisco College
10,Malachi McLaughlin,DB,,Active,Cisco College
11,Chase Warren,DL,,Active,Cisco College
12,Kenneth Harrington,QB,FR,Active,Cisco College
13,Jeffery Sekula,LB,,Active,Cisco College
14,Jamaal Hall Jr.,WR,,Active,Cisco College
15,Keyshawn Williams,RB,,Active,Cisco College
17,Gavin Session,QB,,Active,Cisco College
18,JJ Willis,DB,,Active,Cisco College
19,Caleb Smith,DB,,Active,Cisco College
20,Brandon Ramsey,DB,,Active,Cisco College
21,Kobe Burgess,DB,,Active,Cisco College
22,Trent Lacy,RB,,Active,Cisco College
23,James Adams,DB,,Active,Cisco College
24,Abner Dubar,,,Active,Cisco College
25,Keven Williams,RB,,Active,Cisco College
26,Jarquae Walton,RB,,Active,Cisco College
27,Caden Johnston,DB,,Active,Cisco College
28,Joshua Dobbins,DB,,Active,Cisco College
29,Jadin Jackson,LB,,Active,Cisco College
31,Cory Andrews,DL,,Active,Cisco College
32,Brandon McGruder,DL,,Active,Cisco College
33,Jonathan Ferguson,DB,,Active,Cisco College
35,David Michel,K,,Active,Cisco College
36,Cameron Gardner,DB,,Active,Cisco College
36,Homer Ware,LB,,Inactive,Cisco College
38,Kaleb Dannelley,TE,,Inactive,Cisco College
39,Tate Allen,LB,,Active,Cisco College
40,Anthony Johnson,TE,,Active,Cisco College
44,Tyler Masters,DL,,Active,Cisco College
46,Tre Sharp,DB,,Active,Cisco College
48,Dre Douglas,DB,,Active,Cisco College
48,Nathan Nickerson,DL,,Inactive,Cisco College
50,Johnny Taylor III,DL,,Active,Cisco College
53,Daniel Nwokobia,OL,,Active,Cisco College
54,Ty'Eric Bernal,OL,,Active,Cisco College
55,James Bess,OL,,Active,Cisco College
56,Ryan Hughes,OL,,Active,Cisco College
58,Kyler Kirkland,LB,,Active,Cisco College
60,Jonathan Kuriyan,LS,,Active,Cisco College
63,Rolando Sanchez,DL,,Active,Cisco College
64,DK Abrams,DL,,Active,Cisco College
65,Daunte Spencer,OL,,Active,Cisco College
66,Jordan Bass,OL,,Active,Cisco College
67,William Osborne III,OL,,Active,Cisco College
68,Braylin Bell,OL,,Active,Cisco College
69,Darien Tallie,OL,,Active,Cisco College
70,Preston Peters,OL,,Active,Cisco College
71,Bryce Lagow,OL,,Active,Cisco College
74,Kenneth Bonner,OL,,Active,Cisco College
75,Parry Samuels,OL,,Active,Cisco College
76,Javier Adams,OL,,Active,Cisco College
77,LaRon Kitchen,OL,,Active,Cisco College
79,Kenneth Smith,OL,,Active,Cisco College
81,Miles Denson,WR,,Active,Cisco College
82,Jamal Muhammad,WR,,Active,Cisco College
83,JaMarcus Hopes,WR,,Active,Cisco College
84,Ashton Lott,WR,,Active,Cisco College
86,Donte Zeno,WR,,Active,Cisco College
87,Floyd Ragston III,WR,,Active,Cisco College
88,Bryan Waggoner,TE,,Active,Cisco College
90,Christopher Campbell,DL,,Active,Cisco College
91,Mi'Jai Mickles,DL,,Active,Cisco College
92,Devin Strange,DL,,Active,Cisco College
94,Ty'Odrick Wagner,DL,,Active,Cisco College
95,Stephen Eifert,,,Active,Cisco College
96,Zakyree Sims,DL,,Active,Cisco College
97,Ethan Martel,DL,,Active,Cisco College
98,Makendy Jean,DL,,Active,Cisco College
NA,Cordavian Adams,DB,,Active,Cisco College
NA,Anthony Cook,WR,,Inactive,Cisco College
NN,Chancellor Whitaker,LB,,Active,Cisco College
,Xavier Brown,WR,,Active,Cisco College
,Ashton Garza,QB,,Active,Cisco College
,Michael Nickerson,WR,,Active,Cisco College
0D,Jerrell Erving,DT,,Active,Coahoma Community College
0,Nick Taylor,WR,,Active,Coahoma Community College
1,Taj Colom,WR,,Active,Coahoma Community College
1D,Ryan Kirkwood,DB,,Active,Coahoma Community College
2D,QD Walls,SS,,Active,Coahoma Community College
2,Destin Wheeler,WR,,Active,Coahoma Community College
3,Immanuel Griffin,RB,,Active,Coahoma Community College
3D,Nic Townsend,DB,,Active,Coahoma Community College
4D,Malachi Brown,SS,,Active,Coahoma Community College
4,Deshaun Catron,WR,,Active,Coahoma Community College
5,Rahmaan Rinkin,DB,,Active,Coahoma Community College
6,Austin Donald,RB,,Active,Coahoma Community College
6D,Brandon Hall,LB,,Active,Coahoma Community College
7D,Marco Tyson,FS,,Active,Coahoma Community College
7,Amarion Wiley,TE,,Active,Coahoma Community College
8,Brandon Johnson,WR,,Active,Coahoma Community College
8D,Logan Myles,LB,,Active,Coahoma Community College
9,Chris Davis,WR,,Active,Coahoma Community College
9D,Patrick Kince,DB,,Active,Coahoma Community College
10,Mario Wilbourn,LB,,Active,Coahoma Community College
11,Davion Sampson,SS,,Active,Coahoma Community College
12,Kevierre Weatherspoon,WR,,Active,Coahoma Community College
13,Ashton Strother,QB,,Active,Coahoma Community College
14,Jerrell Goodlow,LB,,Active,Coahoma Community College
15,Edwin Merriweather,QB,,Active,Coahoma Community College
16,Mike Adams,DE,Fr,Active,Coahoma Community College
17,Isaiah Smith,FS,,Active,Coahoma Community College
18,Terrell Smith,QB,,Active,Coahoma Community College
19,Keith Richburg,TE,,Active,Coahoma Community College
20,Tommie Morgan,TE,,Active,Coahoma Community College
21,Draten Norwood,TE,,Active,Coahoma Community College
22,La'Zarious Penn,RB,,Active,Coahoma Community College
23,Brenton Hall,SS,,Active,Coahoma Community College
24,Tyree Bridges,LB,,Active,Coahoma Community College
25,Jakevion Jones,RB,,Active,Coahoma Community College
27,Kenyar Hurt,DB,,Active,Coahoma Community College
28,Jayden Watson,DB,,Active,Coahoma Community College
29,BJ Marrow,RB,,Active,Coahoma Community College
30,Samuel Jackson,LB,,Active,Coahoma Community College
32,Tyree Burns,DE,,Active,Coahoma Community College
33,Donativus Lanier,DE,,Active,Coahoma Community College
36,Raymond Morales,P,,Active,Coahoma Community College
40,R'Jay Hazzel,DE,,Active,Coahoma Community College
44,Byron Keys,LB,,Active,Coahoma Community College
45,Jayden Criss,DT,,Active,Coahoma Community College
48,Damion Gonzalez,K,,Active,Coahoma Community College
53,Ja'Mikal Reed,OG,,Active,Coahoma Community College
54,Russ Blankenship,OG,,Active,Coahoma Community College
56,DeAntae Brown,C,,Active,Coahoma Community College
57,Justin Murry,C,,Active,Coahoma Community College
62,Rodrick Phillips,OG,,Active,Coahoma Community College
64,Kyron Williams,C,,Active,Coahoma Community College
65,Sean Mitchell,T,,Active,Coahoma Community College
68,Jeremiah McCrimmon,T,,Active,Coahoma Community College
70,Branden Hollis,T,,Active,Coahoma Community College
77,James Lewis,OG,,Active,Coahoma Community College
79,Jason Carothers,OG,,Active,Coahoma Community College
81,Kaden Bolden,WR,,Active,Coahoma Community College
85,Corey Harris,WR,,Active,Coahoma Community College
87,Devonta Boyd,WR,,Active,Coahoma Community College
88,Semaj Barber,WR,Fr,Active,Coahoma Community College
91,Trey Triggs,DT,,Active,Coahoma Community College
96,Kennland Lyons,DT,,Active,Coahoma Community College
98,Benndy Ambrosie,DT,,Active,Coahoma Community College
99,Kwaveon Tucker,DT,,Active,Coahoma Community College
0,Tre'avis Jones,RB,So,Active,Coffeyville Community College
1,Jayden Sheppard,DB,So,Active,Coffeyville Community College
2,Cyler Christmas,DB,So,Active,Coffeyville Community College
3,Ty Durham,WR,FR,Active,Coffeyville Community College
4,De'Andre Kelly,RB,RS FR,Active,Coffeyville Community College
5,Carson Creehan,QB,RS FR,Active,Coffeyville Community College
5D,Baruch Hasabu,DB,So,Active,Coffeyville Community College
6,Jarvis Murray,DB,RSFR,Active,Coffeyville Community College
7D,Khmari Johnson,LB,So,Active,Coffeyville Community College
7,Joseph Vick,QB,RS FR,Active,Coffeyville Community College
8,Prince Samuel,DB,So,Active,Coffeyville Community College
9D,Marquis Lane-Owens,LB,RS FR,Active,Coffeyville Community College
9,Steven Robinson,RB,RS FR,Active,Coffeyville Community College
10,Bryce Bonner,WR,RS SO,Active,Coffeyville Community College
11,Brec Long,TE,So,Active,Coffeyville Community College
12,J'Mani Johnson,DL,RS SO,Active,Coffeyville Community College
13,Brandon Heyward,WR,Fr,Active,Coffeyville Community College
14,Anthony Wenson,WR,RSFR,Active,Coffeyville Community College
15,Chris Arviso,QB,RS FR,Active,Coffeyville Community College
16,Saivion Kenon,DB,RS FR,Active,Coffeyville Community College
17,Jalile Bost,WR,Fr,Active,Coffeyville Community College
18,Yetxiel Perez Gilbes,WR,Fr,Active,Coffeyville Community College
19,Eric Butler,LB,RS FR,Active,Coffeyville Community College
20,Jack Lanning,DB,Fr,Active,Coffeyville Community College
21,Lawrence Brown,DB,RS FR,Active,Coffeyville Community College
22,Deairich Jackson,DL,So,Active,Coffeyville Community College
23,Christian Sicard,LB,RS FR,Active,Coffeyville Community College
24,Charles Morgan,RB,FR,Active,Coffeyville Community College
25,Loren Hall,DB,Fr,Active,Coffeyville Community College
26,Roan McCarthy,K,Fr,Active,Coffeyville Community College
27,Quenton Barnes,LB,RS SO,Active,Coffeyville Community College
28,Tayveon Williams,RB,RS FR,Active,Coffeyville Community College
29,Kaid Barrett,QB,FR,Active,Coffeyville Community College
30,Frederick Giles,DL,RS FR,Active,Coffeyville Community College
31,Kyle Watson,DB,RS FR,Active,Coffeyville Community College
32,Chris Beard,DL,So,Active,Coffeyville Community College
33,Julian King-Ingram,DL,RS FR,Active,Coffeyville Community College
34,Wichchiel Filamar,DL,SO,Active,Coffeyville Community College
35,Ma'Kenttis Adams,RB,RS FR,Active,Coffeyville Community College
36,Payton Gaines,DB,Fr,Active,Coffeyville Community College
37,Nate Expose,LB,RS FR,Active,Coffeyville Community College
38,Jordan May,DL,RS SO,Active,Coffeyville Community College
40,Jackson Griffin,LB,Fr,Active,Coffeyville Community College
